imageLink,address
https://chicagoarchitecturedata.com/static/images/assessor_images/13061150260000.jpg,6040-n-northcott-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17301210130000.jpg,2303-w-25th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20211250130000.jpg,639-w-66th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17064010420000.jpg,1106-n-wolcott-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20142230030000.jpg,5711-s-harper-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16242060550000.jpg,1306-s-fairfield-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14313320460000.jpg,1630-n-damen-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16123290170000.jpg,3023-w-warren-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/14061020010000.jpg,2259-w-devon-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16082110320000.jpg,5914-w-ohio-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17204000390000.jpg,1144-w-17th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17203030120000.jpg,1431-w-17th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13153030130000.jpg,4317-n-kenneth-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17042050300000.jpg,1406-n-la-salle-drive
https://chicagoarchitecturedata.com/static/images/assessor_images/25141010390000.jpg,10418-s-maryland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25183170380000.jpg,2324-w-111-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20151000150000.jpg,5532-s-wabash-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14203020240000.jpg,3522-n-janssen-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14321270210000.jpg,2146-n-racine-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13254110170000.jpg,2622-w-logan-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/14202290380000.jpg,3611-n-wilton-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14293060030000.jpg,2745-n-magnolia-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25064020030000.jpg,9151-s-winchester-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20241000030000.jpg,6301-s-stony-island-avenue-14
https://chicagoarchitecturedata.com/static/images/assessor_images/14331230430000.jpg,2119-n-cleveland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17042020560000.jpg,1454-n-wieland-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20142220240000.jpg,5803-s-blackstone-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14213060260000.jpg,529-w-hawthorne-place
https://chicagoarchitecturedata.com/static/images/assessor_images/14313280820000.jpg,1624-n-leavitt-street
https://chicagoarchitecturedata.com/static/images/assessor_images/25141010560000.jpg,10456-s-maryland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17061040090000.jpg,2156-w-pierce-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20033230190000.jpg,4640-s-m-l-king-jr-drive
https://chicagoarchitecturedata.com/static/images/assessor_images/16144220110000.jpg,3513-w-fillmore-street
https://chicagoarchitecturedata.com/static/images/assessor_images/25141010060000.jpg,10413-s-corliss-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13264150140000.jpg,2637-n-sawyer-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14334080130000.jpg,218-w-menomonee-street
https://chicagoarchitecturedata.com/static/images/assessor_images/25271040220000.jpg,23-e-119-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17193120140000.jpg,2123-w-19th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14322220070000.jpg,2043-n-clifton-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14331020290000.jpg,2338-n-geneva-trail
https://chicagoarchitecturedata.com/static/images/assessor_images/14322100240000.jpg,2228-n-fremont-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17064340040000.jpg,851-n-winchester-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25154040110000.jpg,10717-s-cottage-grove
https://chicagoarchitecturedata.com/static/images/assessor_images/14332050050000.jpg,2151-n-sedgwick-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20111040120000.jpg,1112-e-48th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16084030060000.jpg,309-n-menard-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17213230280000.jpg,1928-s-jefferson-street
https://chicagoarchitecturedata.com/static/images/assessor_images/25213050050000.jpg,05-w-116-street-1
https://chicagoarchitecturedata.com/static/images/assessor_images/13361130320000.jpg,3111-w-palmer-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/25152280030000.jpg,10605-s-champlain-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17351010080000.jpg,749-e-37th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17051160980000.jpg,1502-w-division-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13361060020000.jpg,2261-n-kedzie-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/20322050150000.jpg,7959-s-sangamon-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16263140270000.jpg,2710-s-millard-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17213010140000.jpg,713-w-17th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/17173030070000.jpg,1447-w-flournoy-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14054090010000.jpg,1055-w-hollywood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14334120070000.jpg,343-w-menomonee-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14283150050000.jpg,2429-n-orchard-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13163200310000.jpg,5226-w-belle-plaine-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16022250190000.jpg,3311-w-potomac-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16234250070000.jpg,2117-s-homan-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20243190200000.jpg,6946-s-constance-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16233060350000.jpg,1658-s-millard-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13362190110000.jpg,2214-n-milwaukee-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17082100060000.jpg,807-w-chicago-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25222210410000.jpg,11312-s-langley-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16012290120000.jpg,1227-n-artesian-avenue
